,molecule_chembl_id,IC50,units,smiles,pIC50
44,CHEMBL2326938,17300.0,nM,CN1c2c(C(=O)Nc3ccc(NS(C)(=O)=O)cc3)nn(-c3cccc(F)c3)c2-c2ccccc2S1(=O)=O,4.761953896871205
45,CHEMBL486231,18000.0,nM,C[C@@]1(F)[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1n1ccc(=O)[nH]c1=O,4.7447274948966935
46,CHEMBL4291731,20300.0,nM,COc1cccc(Oc2ccc3c(c2)C(OC(=O)c2ccccc2)=CS(=O)(=O)N3)c1,4.692503962086787
47,CHEMBL4556728,24000.0,nM,Nc1cc(C(F)(F)F)ccc1NC(=O)Nc1ccc(S(=O)(=O)Oc2cccc(CC(=O)Oc3cccc(CC(=O)O)c3)c2)cc1,4.619788758288394
48,CHEMBL4446745,26000.0,nM,O=C(O)Cc1cccc(OS(=O)(=O)c2ccc(NC(=O)Nc3ccc(C(F)(F)F)cc3[N+](=O)[O-])cc2)c1,4.585026652029182
49,CHEMBL4287909,30800.0,nM,O=C(OC1=CS(=O)(=O)Nc2ccc(Oc3ccccc3Br)cc21)c1ccccc1,4.511449283499556
50,CHEMBL4277265,41500.0,nM,CCOC1=CS(=O)(=O)Nc2ccc(Oc3ccccc3Br)cc21,4.3819519032879075
51,CHEMBL4280662,46200.0,nM,COC1=CS(=O)(=O)N(C(=O)c2ccccc2)c2ccc(Oc3ccccc3Br)cc21,4.335358024443875
52,CHEMBL3899268,91000.0,nM,Nc1cc(C(F)(F)F)ccc1NC(=O)Nc1cccc(S(=O)(=O)Nc2ccc(C(=O)O)cc2)c1,4.040958607678906
53,CHEMBL3941938,110000.0,nM,Nc1cc(C(F)(F)F)ccc1NC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(C(=O)O)cc2)cc1,3.9586073148417746
54,CHEMBL5182967,140000.0,nM,COc1ccc(CC(=O)O)cc1-c1cccs1,3.853871964321762
55,CHEMBL4436568,144000.0,nM,Nc1cc(C(F)(F)F)ccc1NC(=O)Nc1cccc(S(=O)(=O)Nc2ccc(CC(=O)O)cc2)c1,3.8416375079047507
56,CHEMBL4454666,145000.0,nM,O=C(Nc1ccc(S(=O)(=O)NCc2cccc(C(=O)O)c2)cc1)Nc1ccc(C(F)(F)F)cc1[N+](=O)[O-],3.8386319977650247
57,CHEMBL73188,150000.0,nM,CC(=O)N[C@@H](C(=O)O)C(C)(C)SN=O,3.8239087409443187
58,CHEMBL4465538,174000.0,nM,Nc1cc(C(F)(F)F)ccc1NC(=O)Nc1ccc(S(=O)(=O)NCc2cccc(C(=O)O)c2)cc1,3.7594507517174005
59,CHEMBL4522025,181000.0,nM,O=C(O)Cc1ccc(NS(=O)(=O)c2cccc(NC(=O)Nc3ccc(C(F)(F)F)cc3[N+](=O)[O-])c2)cc1,3.7423214251308154
60,CHEMBL5205786,210000.0,nM,COc1ccc(CC(=O)O)cc1-c1ccsc1,3.6777807052660805
61,CHEMBL4513879,276000.0,nM,Nc1cc(C(F)(F)F)ccc1NC(=O)Nc1ccc(S(=O)(=O)Oc2cccc(CC(=O)O)c2)cc1,3.5590909179347827
62,CHEMBL4522746,304000.0,nM,Nc1cc(C(F)(F)F)ccc1NC(=O)Nc1cccc(S(=O)(=O)NCc2cccc(C(=O)O)c2)c1,3.517126416391246
63,CHEMBL4547767,342000.0,nM,Nc1cc(C(F)(F)F)ccc1NC(=O)Nc1cccc(S(=O)(=O)NCCCC(=O)O)c1,3.4659738939438647
64,CHEMBL4437452,366000.0,nM,Nc1cc(C(F)(F)F)ccc1NC(=O)Nc1cccc(S(=O)(=O)NCc2ccc(C(=O)O)cc2)c1,3.436518914605589
65,CHEMBL3971531,368000.0,nM,Nc1cc(Cl)ccc1NC(=O)Nc1ccc(S(=O)(=O)Oc2ccc(C(=O)O)cc2)cc1,3.434152181326482
66,CHEMBL3959384,369000.0,nM,Nc1cc(Cl)ccc1NC(=O)Nc1cccc(S(=O)(=O)Oc2ccc(C(=O)O)cc2)c1,3.4329736338409393
67,CHEMBL4436970,400000.0,nM,CN1CCC(CNS(=O)(=O)c2ccc(NC(=O)Nc3ccc(C(F)(F)F)cc3N)cc2)C1,3.3979400086720375
68,CHEMBL4578774,400000.0,nM,COC(=O)CCCNS(=O)(=O)c1cccc(NC(=O)Nc2ccc(C(F)(F)F)cc2[N+](=O)[O-])c1,3.3979400086720375
69,CHEMBL4475329,400000.0,nM,O=C(Nc1cccc(S(=O)(=O)NCc2cccc(C(=O)O)c2)c1)Nc1ccc(C(F)(F)F)cc1[N+](=O)[O-],3.3979400086720375
70,CHEMBL4538799,400000.0,nM,CN1CCC(CNS(=O)(=O)c2ccc(NC(=O)Nc3ccc(C(F)(F)F)cc3[N+](=O)[O-])cc2)C1,3.3979400086720375
71,CHEMBL3976785,435000.0,nM,Nc1cc(Cl)ccc1NC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(C(=O)O)cc2)cc1,3.361510743045363
72,CHEMBL3890313,452000.0,nM,Nc1cc(Cl)ccc1NC(=O)Nc1cccc(S(=O)(=O)Nc2ccc(C(=O)O)cc2)c1,3.3448615651886175
